T-8,T-7,T-6,T-5,T-4,T-3,T-2,T-1,T,T+1,T+2,T+3,품목
1382.9121720675578,1502.6996815685563,1474.8672018056072,1384.2961249912964,1474.7789426288941,1490.415268702145,1395.4399428393508,1453.9531318055685,1506.0225621514774,1411.7257609681367,1453.9128087167924,1496.9845127747255,감자
613.3504924791894,649.4150993949164,646.4218340068657,623.9690376864634,655.9612924012887,646.1355988717459,630.429314814105,663.8439798202442,649.490474143407,639.284090906701,682.4360021811217,661.8182315045469,무
4666.506801163288,4206.677944410236,3723.865984243095,4801.138368202462,4337.73541064883,3733.2024418892893,4826.529357851936,4354.440352453433,3676.0316160631437,4607.6924456553,4203.174734146344,3504.7940025060952,배
4506.28716293281,4633.820596237744,4589.465584344398,4469.179754888177,4513.240774911874,4506.376469331542,4392.311519824525,4335.800948068971,4355.56703140695,4321.993819202039,4181.262818154399,4219.64898594194,사과
1010.5577429544002,956.303756590075,951.6880103928106,1009.6229929512642,966.3406135339251,975.4062808985265,1032.283567322384,983.6491126841631,970.2391490057245,1075.6778112466668,1000.6158784945812,930.7719932074006,배추
15912.984359991655,15827.745439152739,16646.676565730853,16013.503589339187,15795.155047333432,16794.570119180178,16299.646499059398,15832.358362476096,17116.48421285773,16488.038708149295,15904.037967073144,17453.015119954565,건고추
5381.143772021571,4428.84355942483,4756.237239806515,5637.71996869704,4254.524829583205,4705.847631122221,5885.033005725444,4177.730076050475,4680.867939200977,5964.31773312138,4274.581302540364,4682.835551574838,마늘
1606.2873171927176,1769.1144067985008,1857.9249169313332,1560.3505655227152,1756.1549057663992,1861.2597049198523,1540.434680049732,1760.5187032763697,1881.4226092317656,1554.7534242922877,1773.4990080209895,1874.8047395693357,대파
4053.592624118427,4642.55580784278,4644.670447138882,4197.455742470948,4858.02383753989,4633.568590834349,4391.4062516706335,5057.26279830086,4684.35885368243,4521.583984201738,5042.758244583844,4845.157156283813,상추
1043.452986236294,977.0649488146603,981.9904496020797,1047.5460493669286,972.2421571514001,991.5008518855858,1049.434580581872,971.1114226619554,1000.7129128543513,1054.8774079669406,977.0042307746095,1010.0150945184598,양파
